estudiante_id,nombre,apellido,email,inscripcion,beca,bootcamp_id
1,nombre00,apelido00,nombre00.apelido00@python.com,2019-06-23,True,126
2,nombre01,apelido01,nombre01.apelido01@python.com,2019-10-15,True,147
3,nombre02,apelido02,nombre02.apelido02@python.com,2019-09-25,True,168
4,nombre03,apelido03,nombre03.apelido03@python.com,2019-10-23,False,28
5,nombre04,apelido04,nombre04.apelido04@python.com,2019-04-05,True,35
6,nombre05,apelido05,nombre05.apelido05@python.com,2019-01-02,True,48
7,nombre06,apelido06,nombre06.apelido06@python.com,2019-05-29,True,51
8,nombre07,apelido07,nombre07.apelido07@python.com,2019-07-01,True,102
9,nombre08,apelido08,nombre08.apelido08@python.com,2019-12-15,True,155
10,nombre09,apelido09,nombre09.apelido09@python.com,2019-04-03,True,41
11,nombre10,apelido10,nombre10.apelido10@python.com,2019-01-24,True,33
12,nombre11,apelido11,nombre11.apelido11@python.com,2019-11-07,False,188
13,nombre12,apelido12,nombre12.apelido12@python.com,2019-03-06,True,186
14,nombre13,apelido13,nombre13.apelido13@python.com,2019-09-17,True,142
15,nombre14,apelido14,nombre14.apelido14@python.com,2019-07-03,True,81
16,nombre15,apelido15,nombre15.apelido15@python.com,2019-08-10,True,24
17,nombre16,apelido16,nombre16.apelido16@python.com,2019-07-03,True,127
18,nombre17,apelido17,nombre17.apelido17@python.com,2019-05-09,True,186
19,nombre18,apelido18,nombre18.apelido18@python.com,2019-09-30,True,158
20,nombre19,apelido19,nombre19.apelido19@python.com,2019-12-03,True,118
21,nombre20,apelido20,nombre20.apelido20@python.com,2019-03-22,True,20
22,nombre21,apelido21,nombre21.apelido21@python.com,2019-12-07,True,116
23,nombre22,apelido22,nombre22.apelido22@python.com,2019-01-19,True,10
24,nombre23,apelido23,nombre23.apelido23@python.com,2019-06-17,True,73
25,nombre24,apelido24,nombre24.apelido24@python.com,2019-01-31,True,167
26,nombre25,apelido25,nombre25.apelido25@python.com,2019-04-11,True,79
27,nombre26,apelido26,nombre26.apelido26@python.com,2019-05-23,False,55
28,nombre27,apelido27,nombre27.apelido27@python.com,2019-01-18,True,160
29,nombre28,apelido28,nombre28.apelido28@python.com,2019-05-21,True,199
30,nombre29,apelido29,nombre29.apelido29@python.com,2019-07-03,True,137
31,nombre30,apelido30,nombre30.apelido30@python.com,2019-02-11,False,171
32,nombre31,apelido31,nombre31.apelido31@python.com,2019-08-19,True,66
33,nombre32,apelido32,nombre32.apelido32@python.com,2019-12-31,True,178
34,nombre33,apelido33,nombre33.apelido33@python.com,2019-11-18,True,47
35,nombre34,apelido34,nombre34.apelido34@python.com,2019-04-03,True,20
36,nombre35,apelido35,nombre35.apelido35@python.com,2019-04-01,True,155
37,nombre36,apelido36,nombre36.apelido36@python.com,2019-03-23,False,115
38,nombre37,apelido37,nombre37.apelido37@python.com,2019-01-22,False,34
39,nombre38,apelido38,nombre38.apelido38@python.com,2019-02-25,True,48
40,nombre39,apelido39,nombre39.apelido39@python.com,2019-03-23,True,97
41,nombre40,apelido40,nombre40.apelido40@python.com,2019-02-19,True,84
42,nombre41,apelido41,nombre41.apelido41@python.com,2019-02-10,False,4
43,nombre42,apelido42,nombre42.apelido42@python.com,2019-03-09,False,29
44,nombre43,apelido43,nombre43.apelido43@python.com,2019-05-14,True,196
45,nombre44,apelido44,nombre44.apelido44@python.com,2019-04-26,False,88
46,nombre45,apelido45,nombre45.apelido45@python.com,2019-03-12,True,186
47,nombre46,apelido46,nombre46.apelido46@python.com,2019-12-12,True,91
48,nombre47,apelido47,nombre47.apelido47@python.com,2019-11-15,True,5
49,nombre48,apelido48,nombre48.apelido48@python.com,2019-07-19,True,149
50,nombre49,apelido49,nombre49.apelido49@python.com,2019-10-21,True,61
51,nombre50,apelido50,nombre50.apelido50@python.com,2019-06-17,True,32
52,nombre51,apelido51,nombre51.apelido51@python.com,2019-02-18,True,128
53,nombre52,apelido52,nombre52.apelido52@python.com,2019-06-10,True,75
54,nombre53,apelido53,nombre53.apelido53@python.com,2019-10-29,True,176
55,nombre54,apelido54,nombre54.apelido54@python.com,2019-04-07,True,70
56,nombre55,apelido55,nombre55.apelido55@python.com,2019-04-14,True,150
57,nombre56,apelido56,nombre56.apelido56@python.com,2019-01-15,True,44
58,nombre57,apelido57,nombre57.apelido57@python.com,2019-04-13,False,102
59,nombre58,apelido58,nombre58.apelido58@python.com,2019-08-16,True,115
60,nombre59,apelido59,nombre59.apelido59@python.com,2019-06-09,True,90
61,nombre60,apelido60,nombre60.apelido60@python.com,2019-11-29,True,165
62,nombre61,apelido61,nombre61.apelido61@python.com,2019-05-16,True,152
63,nombre62,apelido62,nombre62.apelido62@python.com,2019-04-22,False,157
64,nombre63,apelido63,nombre63.apelido63@python.com,2019-08-15,True,163
65,nombre64,apelido64,nombre64.apelido64@python.com,2019-05-07,True,67
66,nombre65,apelido65,nombre65.apelido65@python.com,2019-03-18,True,117
67,nombre66,apelido66,nombre66.apelido66@python.com,2019-05-15,False,147
68,nombre67,apelido67,nombre67.apelido67@python.com,2019-04-25,True,145
69,nombre68,apelido68,nombre68.apelido68@python.com,2019-01-17,True,110
70,nombre69,apelido69,nombre69.apelido69@python.com,2019-02-08,True,197
71,nombre70,apelido70,nombre70.apelido70@python.com,2019-09-08,False,154
72,nombre71,apelido71,nombre71.apelido71@python.com,2019-05-28,True,33
73,nombre72,apelido72,nombre72.apelido72@python.com,2019-11-07,True,22
74,nombre73,apelido73,nombre73.apelido73@python.com,2019-09-16,True,96
75,nombre74,apelido74,nombre74.apelido74@python.com,2019-07-18,True,101
76,nombre75,apelido75,nombre75.apelido75@python.com,2019-08-02,False,159
77,nombre76,apelido76,nombre76.apelido76@python.com,2019-02-08,False,158
78,nombre77,apelido77,nombre77.apelido77@python.com,2019-11-08,True,86
79,nombre78,apelido78,nombre78.apelido78@python.com,2019-01-17,True,121
80,nombre79,apelido79,nombre79.apelido79@python.com,2019-09-18,True,20
81,nombre80,apelido80,nombre80.apelido80@python.com,2019-01-20,True,11
82,nombre81,apelido81,nombre81.apelido81@python.com,2019-04-02,True,34
83,nombre82,apelido82,nombre82.apelido82@python.com,2019-08-27,True,117
84,nombre83,apelido83,nombre83.apelido83@python.com,2019-07-01,True,76
85,nombre84,apelido84,nombre84.apelido84@python.com,2019-03-16,False,200
